"id","title","year","language","authors"
"uiug.30112063291758","Performance report for the period ending ... /","2004","fre","Canada. Hazardous Materials Information Review Commission; Canada. Government Review and Quality Services"
"uc1.b4903165","Prehistoric foraging in a temperate forest : a linear programming model /","1981","eng","Keene, Arthur S."
"mdp.39015040623533","Indigenous peoples in Latin America : the quest for self-determination /","1997","eng, spa","Díaz Polanco, Héctor, 1944-"
"inu.39000005568360","The freeing of the deer, and other New Mexico Indian myths = Se da libertad al venado y otras leyendas de los indios de Nuevo México /","1985","eng, spa","Espinosa, Carmen Gertrudis, 1892-"
"inu.30000042765945","Indian register population by sex and residence for registry groups, responsibility centres, regions and Canada, December 31 ... /","1994","fre","Canada. Registration, Revenues and Band Governance Branch; Canada. Membership, Revenues, and Band Governance; Canada. Lands, Revenues & Trusts Operations Branch"
"pst.000021076329","California Tribal Status Act : hearing before the Committee on Interior and Insular Affairs, House of Representatives, One Hundred Second Congress, second session, on H.R. 2144 ... hearing held in Washington, DC, May 28, 1992.","1993","eng","United States. Congress. House. Committee on Interior and Insular Affairs."
"mdp.39015052834226","Early Western travels, 1748-1846; a series of annotated reprints of some of the best and rarest contemporary volumes of travel, descriptive of the Aborigines and social and economic conditions in the middle and far West, during the period of early American settlement, edited with notes, introd., index, etc.","1966","eng","Thwaites, Reuben Gold, 1853-1913"
"inu.30000037294489","A Performance review of the Utah Navajo Trust Fund /","1991","eng","West, Douglas E; Utah. Legislature. Office of the Legislative Auditor"
"uiug.30112119909742","Divide funds between Red Lake and all other Chippewa Indians of Minnesota. Hearing, Seventy-fifth Congress, third session, on H.R. 4544, an act to divide the funds of the Chippewa Indians of Minnesota between the Red Lake band and the remainder of the Chippewa Indians of Minnesota, organized as the Minnesota Chippewa Tribe. March 7, 1938.","1938","eng","United States. Congress. Senate. Committee on Indian Affairs."
"mdp.39015035019655","Community occupant protection : resource directory.","1995","eng","United States. Indian Health Service."
"umn.31951002241035z","Archaeological site report.","1979","eng","Oklahoma River Basin Survey Project."
"uc1.32106019212320","Archaeological investigations at CA-SCL-674, the Rubino site, San Jose, Santa Clara County, California /","2007","eng","Andrushko, Valerie A; Latham, Kate A; Grady, Diane L"
"mdp.39015077957788","Background report on Public law 280 prepared at the request of Henry M. Jackson, chairman, Committee on Interior and Insular Affairs, United States Senate.","1975","eng","Ackerman, David M; Library of Congress. Congressional Research Service. American Law Division; United States. Congress. Senate. Committee on Interior and Insular Affairs"
"wu.89069272938","Man corn : cannibalism and violence in the Prehistoric American Southwest /","1999","eng","Turner, Christy G; Turner, Jacqueline A., 1934-1996"
"wu.89058382417","Walter F. George Lake archaeological survey of fee owned lands, Alabama and Georgia /","1984","eng","Knight, Vernon J; Mistovich, Tim S; University of Alabama. Office of Archaeological Research; United States. Army. Corps of Engineers. Mobile District"
"mdp.39015050559155","Woodward's reminiscences of the Creek, or Miscogee Indians, contained in letters to friends in Georgia and Alabama.","1939","eng","Woodward, Thomas Simpson."
"wu.89066343245","The  Paleo-Indians of east central Wisconsin : a 1984 survey and testing project /","1985","eng","Dirst, Victoria; University of Wisconsin--Oshkosh"
"pst.000057829418","Arrow to the sun : a Pueblo Indian tale /","2004","eng","McDermott, Gerald."
"inu.30000022632842","Treaty days : reflections of an Indian commissioner /","1991","eng","Graham, William M. (William Morris), 1867-1939."
"uiug.30112076560074","Journal of a tour on the ""Indian territory"", performed by order of the Domestic committee of the Board of missions of the Protestant Episcopal church in the spring of 1844,","1844","eng","Episcopal Church. Board of Missions. Domestic Committee."
"uc1.32106007388256","American Indian culture and research journal","1983","eng","University of California, Los Angeles. American Indian Studies Center; University of California, Los Angeles. American Indian Culture and Research Center"
"wu.89060386778","The spirit within :","1995","eng","Seattle Art Museum."
"uc1.$b785667","Journals of Charles Beatty, 1762-1769.","1963","eng","Beatty, Charles, 1715?-1772; Klett, Guy Soulliard"
"pst.000043810154","Cherokee by blood :  records of Eastern Cherokee ancestry in the US Court of Claims, 1906-1910 /","1997","eng","Jordan, Jerry Wright; Miller, Guion"
"pst.000049661705","Native American Commercial Driving Training and Technical Assistance Act : hearing before the Committee on Indian Affairs, United States Senate, One Hundred Seventh Congress, second session on S. 1344, to provide training and technical assistance to Native Americans who are interested in commercial vehicle driving careers, July 24, 2002, Washington, DC.","2002","eng","United States. Congress. Senate. Committee on Indian Affairs (1993-)"
"mdp.39015043325151","Policing in Indian country /","1998","eng","Barker, Michael L."
"mdp.39015024968771","Native American testimony : a chronicle of Indian-white relations from prophecy to the present, 1492-1992 /","1991","eng","Nabokov, Peter."
"wu.89060398559","A sad and terrible blunder, Generals Terry and Custer at the Little Big Horn : new discoveries /","1990","eng","Darling, Roger."
"uc1.c004180814","Military and Indian affairs : (sub-theme) Theme XV Westward expansion and the extension of the national boundaries, 1830-1898.","1959","eng","United States. National Park Service."
"mdp.39015010436577","Native Americans in the twentieth century /","1984","eng","Olson, James Stuart, 1946-; Wilson, Raymond, 1945-"
"uc1.31210018797694","Little Traverse Bay Bands of Odawa Indians and the Little River Band of Ottawa Indians Act.","1994","eng","United States."
"uc1.31822019588060","The North American Indian : being a series of volumes picturing and describing the Indians of the United States and Alaska /","1970","eng","Curtis, Edward S., 1868-1952,; Morgan, J. Pierpont (John Pierpont), 1837-1913,; Roosevelt, Theodore, 1858-1919,; Hodge, Frederick Webb, 1864-1956,"
"wu.89082400797","Taking the Jesus road : the ministry of the Reformed Church in America among native Americans /","2005","eng","Koopman, LeRoy."
"uc1.b3625265","Carbine and lance; the story of old Fort Sill.","1937","eng","Nye, Wilbur Sturtevant, 1898-1970."
"msu.31293017579842","Annual report /","1973","eng","United States. Indian Claims Commission."
"inu.30000123766838","Indian country today. Destinations.","2008","eng",""
"umn.31951p00324643k","American Indian quarterly.","1993","eng","Society for American Indian Studies & Research (U.S.); Southwestern American Indian Society (U.S.); University of California, Berkeley. Native American Studies"
"umn.31951d00475910t","Annual Indian Law Conference.","1986","eng","Indian Law Conference; Federal Bar Association"
"pur1.32754062984947","Archeological survey : Gila Cliff Dwellings National Monument /","1992","eng","Bradford, James E; United States. National Park Service. Southwest Region. Branch of Cultural Resources Management"
"wu.89058383720","Proceedings of the 1983 Hohokam Symposium /","1985","eng","Hohokam Symposium (1983 : Arizona State University); Dove, Donald E; Dittert, Alfred Edward, 1922-; Arizona Archaeological Society. Phoenix Chapter"
"mdp.39015015278966","The Indians of the Great Plains /","1982","eng","Bancroft-Hunt, Norman; Forman, Werner"
"uc1.c006937278","Archeological investigations--II,","1928","eng","Fowke, Gerard, 1855-1933."
"uc1.32106014557554","Earth's mind : essays in native literature /","1997","eng","Dunsmore, Roger, 1938-"
"pur1.32754063631521","Building the future : a blueprint for change : ""By our homes you will know us"" : final report of the National Commission on American Indian, Alaska Native, and Native Hawaiian Housing.","1992","eng","National Commission on American Indian, Alaska Native, and Native Hawaiian Housing (U.S.)"
"mdp.39015017448831","Occasional paper /","1984","eng","Alberta. Historical Resources Division; Archaeological Survey of Alberta"
"pur1.32754070363829","Oversight of economic development on Indian reservations : hearing before the Select Committee on Indian Affairs, United States Senate, Ninety-seventh Congress, second session, on oversight of economic development on Indian reservations, April 29, 1982, Washington, D.C.","1982","eng","United States. Congress. Senate. Select Committee on Indian Affairs."
"inu.30000048103976","Indian whalemen of Nantucket : the documentary evidence /","1992","eng","Little, Elizabeth A."
"mdp.39015047074813","To show heart : Native American self-determination and federal Indian policy, 1960-1975 /","1998","eng","Castile, George Pierre."
"pur1.32754066494109","IHS implementation of the self-governance demonstration project : hearing before the Committee on Indian Affairs, United States Senate, One Hundred Fourth Congress, first session ... May 2, 1995, Washington, DC.","1995","eng","United States. Congress. Senate. Committee on Indian Affairs (1993- )"
"osu.32435081057895","Here you have my story : eyewitness accounts of the nineteenth-century Central Plains /","2009","eng","Jensen, Richard E."
"wu.89077939064","Prehistoric chert types of the Midwest /","1998","eng","DeRegnaucourt, Tony; Cox, David M; Georgiady, Jeff; Upper Miami Valley Archaeological Research Museum"
"inu.30000087807537","An archaeological survey of Twin Buttes Reservoir, Tom Green County, Texas /","2001","eng","Mauldin, Raymond P; Bousman, C. Britt; Hard, Robert Jarratt; Nickels, David L; University of Texas at San Antonio. Center for Archaeological Research"
"inu.30000041160445","Upland adaptations in Lower Glen Canyon during the Archaic and Pueblo periods : archaeological data recovery at 20 sites along the Antelope Point Road (Route N22B) near Page, Arizona /","1992","eng","Reed, Paul F; Klesert, Anthony L; United States. Bureau of Indian Affairs. Navajo Area Office; Navajo Tribe of Arizona, New Mexico & Utah. Historic Preservation Dept; Navajo Nation, Arizona, New Mexico & Utah. Archaeology Dept"
"pur1.32754066680665","Hoopa Valley Reservation South Boundary Adjustment Act : report (to accompany H.R. 79) (including cost estimate of the Congressional Budget Office).","1997","eng","United States. Congress. House. Committee on Resources."
"inu.39000005992586","Tales of the Nez Perce /","1984","eng","Hines, Donald M., 1931-"
"wu.89060387842","Pennsylvania archaeologist.","1986","eng","Society for Pennsylvania Archaeology."
"umn.31951d01944710h","Medicine Wheel National Historic Landmark : draft environmental impact statement.","1991","eng","United States. Forest Service. Medicine Wheel Ranger District"
"mdp.39015046002708","A man of distinction among them / Alexander McKee and British-Indian affairs along the Ohio country frontier, 1754-1799 /","1999","eng","Nelson, Larry L. (Larry Lee), 1950-"
"uc1.$b41720","The southern frontier, 1670-1732 ...","1929","eng","Crane, Verner Winslow, 1889-"
"mdp.39015071494978","A status report on the Fort Meigs treaty lawsuit in Washtenaw circuit court.","1975","eng","White, Elmer E."
"wu.89058286360","Special editions : Dimensions /","1981","eng","Ontario Metis & Non-Status Indian Association."
"uva.x001774881","Central States archaeological journal.","1990","eng","Central States Archaeological Group; Central States Archaeological Society; Central States Archaeological Societies"
"wu.89082514308","Northwest anthropological research notes.","2003","eng","University of Idaho. Department of Sociology/Anthropology."
"mdp.39015022261609","Deciphering a shell midden /","1992","eng","Stein, Julie K."
"umn.31951p01169049p","People of the land : sustaining American Indian agriculture in Idaho, Nevada, Oregon and Washington /","2009","eng","Emm, Staci K; Singletary, Loretta; Sustainable Agriculture Research & Education (Program). Western Region; University of Nevada Cooperative Extension"
"mdp.39015059154156","Alaska subsistence : a National Park Service management history /","2002","eng","Norris, Frank B. (Frank Blaine), 1950-; United States. National Park Service. Alaska System Support Office"
