"id","title","year","language","authors"
"pst.000032468786","The flight of Red Bird :  the life of Zitkala-S?a / re-created from the writings of Zitkala-S?a and the research of Doreen Rappaport.","1997","eng","Rappaport, Doreen"
"mdp.49015000024167","No turning back; a true account of a Hopi Indian girl's struggle to bridge the gap between the world of her people and the world of the White man,","1964","eng","Qoyawayma, Polingaysi; Carlson, Vada F"
"mdp.39015040730916","Infidelities / Elise Paschen.","1996","eng","Paschen, Elise"
"mdp.39015042815426","Androscoggin too : the Pejepscot poems / by Robert M. Chute.","1997","eng","Chute, Robert M. (Robert Maurice) 1926-"
"mdp.39015041788319","The lasting of the Mohegans : Part I, the story of the wolf people / Melissa Jayne Fawcett.","1995","eng","Fawcett, Melissa Jayne 1960-"
"uc2.ark:/13960/fk17m0443n","The life, letters and speeches of Kah-ge-ga-gah-bowh, or, G. Copway, chief Ojibway nation.","1850","eng","Copway, George 1818-1869"
"wu.89060396363","Devil in deerskins : my life with Grey Owl / Anahareo.","1972","eng",""
"uva.x000083545","The autobiography of a Yaqui poet / by Refugio Savala ; edited by Kathleen M. Sands.","1980","eng","Savala, Refugio; Sands, Kathleen M"
"mdp.39015053156942","Teaching virtues : building character across the curriculum / Don Trent Jacobs, Jessica Jacobs-Spencer, with Richard M. Jones and Edwin J. Dawson.","2001","eng","Jacobs, Donald Trent 1946-; Jacobs-Spencer, Jessica"
"txu.059173004337113","Princess Pocahontas and the blue spots : two plays / by Monique Mojica.","1991","eng","Mojica, Monique 1954-"
"mdp.39076001866255","Tonto's revenge : reflections on American Indian culture and policy / Rennard Strickland ; foreword by Charles F. Wilkinson.","1997","eng","Strickland, Rennard"
"mdp.39015007058483","Songs from this earth on turtle's back : contemporary American Indian poetry / edited by Joseph Bruchac.","1983","eng","Bruchac, Joseph 1942-"
"mdp.39015062111425","Cree, language of the Plains = N?hiyaw?win paskw?wi-p?kiskw?win. Workbook / by Jean L. Okam?sis, Solomon Ratt ; illustrations by Steven Cowley.","1999","eng","Okimasis, Jean L. 1938-; Ratt, Solomon; University of Regina Canadian Plains Research Center"
"wu.89058280611","Manitoba's Me?tis settlement scheme of 1870 / Paul L.A.H. Chartrand.","1991","eng","Chartrand, Paul L. A. H. 1943-; University of Saskatchewan Native Law Centre"
"mdp.39015024981519","Analytical lexicon of Navajo / Robert W. Young and William Morgan, Sr. ; with the assistance of Sally Midgette.","1992","eng","Young, Robert W. 1912-; Midgette, Sally 1938-; Morgan, William 1917-"
"uc1.32106006887498","A good journey / Simon J. Ortiz.","1984","eng","Ortiz, Simon J. 1941-"
"uc1.b4455082","Mountain Wolf Woman, sister of Crashing Thunder; the autobiography of a Winnebago Indian. Edited by Nancy Oestreich Lurie","1961","eng","Lurie, Nancy Oestreich"
"mdp.39015008696513","Kaibah; recollection of a Navajo girlhood. With chapter illus. by the author.","1964","eng","Bennett, Kay"
"mdp.39015001342511","Behind the Trail of Broken Treaties; an Indian declaration of independence [by] Vine Deloria, Jr.","1974","eng","Deloria, Vine"
"mdp.39076001498182","Bloodlines : odyssey of a native daughter / Janet Campbell Hale.","1994","eng","Hale, Janet Campbell"
"mdp.39015018866619","Jimmie Durham : the bishop's moose and the pinkerton men : November 1-December 2, 1989 / curator Jeanette Ingberman ; texts, Papo Colo ... [et al.].","1990","eng","Durham, Jimmie; Ingberman, Jeanette 1952-; Exit Art (Gallery : New York, N.Y.)"
"uc1.32106000553765","Land of the spotted eagle, by .","1933","eng",""
"mdp.39015046799238","Green grow the lilacs, a play.","1931","|||","Riggs, Lynn 1899-1954"
"uc1.b4446372","Another song for America / by Lance Henson.","1987","eng","Henson, Lance"
"mdp.39015029453795","Blue horses for Navajo women / Nia Francisco ; illustrated by Wallace Begay.","1988","eng","Francisco, Nia"
"mdp.49015002258938","Guests / Michael Dorris.","1994","eng","Dorris, Michael"
"mdp.39015047544724","People of the seventh fire / edited by Dagmar Thorpe ; photography, Lawrence Gus ; foreword by Vine Deloria, Jr.","1996","eng","Thorpe, Dagmar"
"pst.000006235918","Flint and feather : the complete poems of E. Pauline Johnson (Tekahionwake) / with introduction by Theodore Watts-Dunton and a bibliographical sketch of the author. Illustrated by J. R. Seavey.","1917","eng","Johnson, Emily Pauline 1862-1913"
"uc1.b4102033","Skunny Wundy; Seneca Indian tales. Illustrated by George Armstrong","1970","eng","Parker, Arthur Caswell 1881-1955"
"mdp.39015040488853","Family networks. [By] Ross V. Speck [and] Carolyn L. Attneave.","1973","eng","Speck, Ross V; Attneave, Carolyn L"
"pst.000067783601","Dance in a buffalo skull / by Zitkala-Sa ; illustrated by S. D. Nelson.","2007","eng","Nelson, S. D. ill"
"uc1.$b59452","Coyote stories, by Mourning Dove (Humishuma) edited and illustrated by Heister Dean Guie, with notes by L. V. McWhorter (Old Wolf) and a foreword by Chief Standing Bear.","1933","eng","Guie, Heister Dean"
"mdp.39015022230901","Claiming breath / Diane Glancy.","1992","eng","Glancy, Diane"
"pst.000021672101","The art of American Indian cooking / by Yeffe Kimball and Jean Anderson ; with a foreword by Will Rogers, Jr. ; with a preface by Gary Soucie ; illustrated by Yeffe Kimball.","1965","eng","Kimball, Yeffe 1914-; Anderson, Jean 1929-"
"mdp.39015046377522","The history of the Seneca Indians, by Arthur C. Parker.","1967","eng","Parker, Arthur Caswell 1881-1955"
"mdp.39015014550852","Children of the sun : stories / by and about Indian kids ; Adolf and Beverly Hungry Wolf.","1987","eng","Hungry Wolf, Beverly; Hungrywolf, Adolf 1944-"
"mdp.49015002938273","Thirteen moons on turtle's back : a Native American year of moons / by Joseph Bruchac and Jonathan London ; illustrated by Thomas Locker.","1992","eng","Bruchac, Joseph 1942-; Locker, Thomas 1937- ill; London, Jonathan 1947-"
"mdp.39015047853943","A certain lack of coherence : writings on art and cultural politics / Jimmie Durham ; edited by Jean Fisher.","1993","eng","Durham, Jimmie; Fisher, Jean 1942-"
"inu.39000000903711","The rattlesnake band, and other poems / by Robert J. Conley ; Cherokee translations by Durbin Feeling ; drawings by the author ; additional translations by Adalene Proctor Smith.","1984","eng","Conley, Robert J; Feeling, Durbin"
"mdp.39015029269431","Cowboys and Indians ; Christmas shopping : poems / by Carter Revard.","1992","eng","Revard, Carter; Revard, Carter"
"uc1.b3396124","Spirit visions : the old ones speak / Dennison & Teddi Tsosie.","1996","eng","Tsosie, Dennison 1949-; Tsosie, Teddi 1946-"
"mdp.39015053751635","Bowman's store : a journey to myself / Joseph Bruchac.","2001","eng","Bruchac, Joseph 1942-"
"wu.89058391335","The crooked tree; Indian legends and a short history of the Little Traverse Bay region.","1917","eng","Wright, J. C. (John Couchois) 1874-"
"uc2.ark:/13960/t20c50q6b","The moccasin maker / with introduction by Sir Gilbert Parker, and appreciation by Charles Mair.","1913","eng","Johnson, E. Pauline 1861-1913"
"mdp.39015047079283","Fugitive poses : Native American Indian scenes of absence and presence / Gerald Vizenor.","1998","eng","Vizenor, Gerald Robert 1934-"
"mdp.39015053122936","The man who loves salmon / Sherman Alexie.","1998","eng","Alexie, Sherman 1966-"
"mdp.49015000026113","Elderberry flute song : contemporary coyote tales / by Peter Blue Cloud ; illustrated by Bill Crosby.","1982","eng",""
"mdp.39015032830757","Selu : seeking the Corn-Mother's wisdom / Marilou Awiakta ; illustrations by Mary Adair.","1993","eng","Awiakta, Marilou 1936-"
"mdp.39015016919378","Letters to Howard : an interpretation of the Alaska native land claims / by Frederick Seagayuk Bigjim and James Ito-Adler.","1974","eng","Bigjim, Frederick Seagayuk; Rock, Howard; Ito-Adler, James joint author"
"mdp.39015043788846","No parole today / Laura Tohe.","1999","eng","Tohe, Laura"
"uc1.b4975686","Iron woman : poems / by Diane Glancy.","1990","eng","Glancy, Diane"
"miun.afw6973.0001.001","The illiterate digest.","1924","eng","Rogers, Will 1879-1935"
"mdp.39015046352020","Me and mine; the life story of Helen Sekaquaptewa, as told to Louise Udall. Illustrated by Phillip Sekaquaptewa.","1969","eng","Sekaquaptewa, Helen 1898-; Udall, Louise"
"wu.89082562406","French and native North American marriages, 1600-1800 / Paul J. Bunnell.","2004","eng","Bunnell, Paul J. (Paul Joseph) 1946-"
"uc1.b4447009","Taking off : a turning point / William Oandasan.","1976","eng","Oandasan, William"
"mdp.49015000714353","Mohawk trail / by Beth Brant (Degonwadonti).","1985","eng","Brant, Beth 1941-"
"uc1.b4359402","Man spirit / by Ted D. Tomeo-Palmanteer & Ronald Rogers.","1979","eng","Tomeo-Palmanteer, Ted D; Rogers, Ronald"
"mdp.39015042176878","The native American book of wisdom / text by White Deer of Autumn ; illustrations by Shonto W. Begay.","1992","eng","Begay, Shonto ill"
"uc1.32106002185517","Hopi roadrunner dancing, by Wendy Rose (Chiron Khanshendel).","1973","eng","Rose, Wendy"
"uc1.32106011563233","A quick brush of wings / by Mary TallMountain","1991","eng","TallMountain, Mary"
"mdp.39015040374624","Inventing the savage : the social construction of Native American criminality / by Luana Ross.","1998","eng","Ross, Luana"
"mdp.39015041016018","Dog road woman : poems / by Allison Adelle Hedge Coke.","1997","eng","Hedge-Coke, Allison Adelle"
"mdp.39015013538023","Touchwood : a collection of Ojibway prose / edited by Gerald Vizenor.","1987","eng","Vizenor, Gerald Robert 1934-"
"umn.31951002374161q","Night over Mexico.","1937","eng","Downing, Todd 1902-1974"
"mdp.39015016608161","Pictures out of my life / edited from tape-recorded interviews by Dorothy Eber.","1978","eng","Pitseolak, Peter 1902-1973; Eber, Dorothy"
"mdp.39015022250305","Wo'i bwikam = Coyote songs : from the Yaqui Bow Leaders' Society / recorded, translated, and annotated by Larry Evers and Felipe S. Molina ; drawings by Cynthia Miller.","1989","eng","Molina, Felipe S; Evers, Larry; Yaqui Bow Leaders' Society"
"umn.31951000547196c","Red Cloud.","1971","eng","McGaa, Ed"
"mdp.39015064106100","The power of horses and other stories / Elizabeth Cook-Lynn.","2006","eng","Cook-Lynn, Elizabeth"
"uc1.32106008463017","Seek the house of relatives / by Elizabeth Cook-Lynn.","1983","eng",""
"mdp.39015071200193","History of the Ojibway nation.","1885","eng","Warren, William W. (William Whipple) 1825-1853; Neill, Edward D. (Edward Duffield) 1823-1893; Warren, William W. (William Whipple) 1825-1853; Williams, J. Fletcher (John Fletcher) 1834-1895; Minnesota Historical Society"
"uc1.32106002182662","Going for the rain : poems / by Simon J. Ortiz.","1976","eng","Ortiz, Simon J. 1941-"
"mdp.39015032204946","Now poof she is gone : poetry / by Wendy Rose.","1994","eng","Rose, Wendy"
"wu.89060408002","Urban Indians : drums from the cities / by Gregory W. Frazier.","1993","eng","Frazier, Gregory W. 1947-; National Urban Indian Council (U.S.)"
"mdp.39015047484137","Ni-kso-ko-wa : Blackfoot spirituality, traditions, values, and beliefs / by Long Standing Bear Chief.","1992","eng","Gray, Harold E; Puhek, Lenore McKelvey"
"mdp.39015025169692","On our own ground : the complete writings of William Apess, a Pequot / edited and with an introduction by Barry O'Connell.","1992","eng","Apess, William b. 1798; O'Connell, Barry 1943-"
"mdp.39015056289385","To touch the past : the painted pottery of the Mimbres people : essays / by J.J. Brody and Rina Swentzell ; introduction by Lyndel King.","1996","eng","Brody, J. J; Swentzell, Rina; Frederick R. Weisman Art Museum"
"wu.89002656601","Cheyenne memories / by John Stands In Timber and Margot Liberty, with the assistance of Robert M. Utley.","1967","eng","Utley, Robert Marshall 1929-; Liberty, Margot"
"wu.89069661502","Indian country : a history of Native people in America / Karen D. Harvey, Lisa D. Harjo.","1994","eng","Harvey, Karen D; Harjo, Lisa D"
"mdp.39015038421536","Clans of many nations : selected poems, 1969-1994 / Peter Blue Cloud.","1995","eng","Blue Cloud, Peter"
"mdp.39015046481415","Smoke signals / introduction, screenplay, and notes by Sherman Alexie.","1998","eng","Alexie, Sherman 1966-"
"uiug.30112000464690","Notebook of a Cherokee shaman / Jack Frederick Kilpatrick and Anna Gritts Kilpatrick","1970","eng","Kilpatrick, Jack Frederick. author; Kilpatrick, Anna Gritts author"
"mdp.39015056902623","Daughters are forever / Lee Maracle.","2001","eng","Maracle, Lee 1950-"
"mdp.39015018334246","The ancient child : a novel / by N. Scott Momaday.","1989","eng","Momaday, N. Scott 1934-"
